Date, Close/Last, Volume, Open, High, Low
09/26/2019, 32.136, 5181, 31.9318, 32.1488, 31.877
09/25/2019, 31.8002, 7046, 31.5865, 31.842, 31.5865
09/24/2019, 31.6534, 11653, 32.0896, 32.0896, 31.5766
09/23/2019, 31.9332, 9819, 31.785, 32.0796, 31.785
09/20/2019, 31.8289, 3168, 32.0011, 32.0403, 31.8145
09/19/2019, 31.9359, 12257, 31.8864, 32.0197, 31.8864
09/18/2019, 31.7522, 12704, 31.8145, 31.8165, 31.5297
09/17/2019, 31.9511, 6796, 31.952, 31.952, 31.8341
09/16/2019, 31.663, 4576, 31.4306, 31.677, 31.4306
09/13/2019, 31.309, 7918, 31.5395, 31.6574, 31.2189
09/12/2019, 31.3297, 12202, 31.1762, 31.3716, 31.1762
09/11/2019, 31.0237, 22925, 30.8522, 31.0584, 30.7161
09/10/2019, 30.913, 19774, 31.3628, 31.3628, 30.7638
09/09/2019, 31.3152, 104911, 31.353, 31.3628, 31.181
09/06/2019, 31.2597, 5789, 31.4119, 31.4119, 31.1487
09/05/2019, 31.4556, 17985, 31.4765, 31.7065, 31.4217
09/04/2019, 31.7163, 29381, 31.8144, 31.952, 31.6672
09/03/2019, 31.6199, 5525, 31.4699, 31.7261, 31.4699
08/30/2019, 31.4217, 6450, 31.569, 31.569, 31.3667
08/29/2019, 31.6299, 3937, 31.6083, 31.7477, 31.6004
08/28/2019, 31.4091, 13629, 31.2253, 31.4314, 31.1805
08/27/2019, 31.215, 7192, 31.5395, 31.5582, 31.215
08/26/2019, 31.4199, 7744, 31.2744, 31.4302, 31.2057
08/23/2019, 31.1257, 13517, 31.8439, 31.9323, 31.1257
08/22/2019, 31.8725, 97801, 31.945, 31.945, 31.6289
08/21/2019, 31.8412, 10706, 31.9029, 31.9412, 31.785
08/20/2019, 31.6367, 10927, 32.0698, 32.0698, 31.6367
08/19/2019, 32.0195, 19807, 31.7595, 32.0698, 31.7595
