Date, Close/Last, Volume, Open, High, Low
04/04/2019, 422.2733, 0, 423.0162, 424.8243, 420.0913
04/03/2019, 423.7542, 0, 423.8872, 425.6793, 421.6643
04/02/2019, 421.7914, 0, 420.3825, 422.5487, 419.8922
04/01/2019, 420.068, 0, 416.5526, 420.1104, 416.213
03/29/2019, 412.6887, 0, 411.433, 412.6901, 408.556
03/28/2019, 408.8098, 0, 411.1182, 412.2161, 407.2058
03/27/2019, 410.1161, 0, 412.9628, 414.2636, 408.5405
03/26/2019, 412.3349, 0, 411.1708, 413.048, 410.1013
03/25/2019, 408.2676, 0, 407.4446, 409.428, 405.0743
03/22/2019, 408.5168, 0, 415.6164, 417.1638, 408.38
03/21/2019, 416.5458, 0, 411.6468, 418.0994, 411.6434
03/20/2019, 412.2822, 0, 412.979, 416.2529, 411.0972
03/19/2019, 413.5651, 0, 417.8734, 418.8726, 412.6239
03/18/2019, 415.9807, 0, 413.9158, 418.2521, 413.2538
03/15/2019, 413.7001, 0, 411.1057, 415.4676, 410.9212
03/14/2019, 409.4384, 0, 408.7816, 410.4311, 408.164
03/13/2019, 408.4455, 0, 407.1176, 410.102, 406.0184
03/12/2019, 405.4111, 0, 404.4923, 406.5954, 402.8152
03/11/2019, 404.8922, 0, 399.2487, 405.3972, 399.234
03/08/2019, 398.497, 0, 395.9896, 398.8049, 395.3968
03/07/2019, 400.0265, 0, 401.4321, 403.4999, 399.1869
03/06/2019, 402.4378, 0, 401.4016, 403.2207, 398.8911
03/05/2019, 402.4023, 0, 402.4135, 403.4985, 401.4454
03/04/2019, 401.9305, 0, 405.7211, 406.2269, 398.7179
03/01/2019, 404.2305, 0, 407.5828, 407.6642, 403.3802
02/28/2019, 405.6138, 0, 405.823, 407.3722, 403.976
02/27/2019, 405.9248, 0, 403.9704, 406.4006, 402.0641
02/26/2019, 404.0182, 0, 401.8388, 405.4979, 401.7704
02/25/2019, 403.2266, 0, 402.8797, 405.0177, 402.7973
02/22/2019, 400.6972, 0, 398.3712, 400.8455, 397.5212
02/21/2019, 396.1883, 0, 396.5909, 397.2615, 394.807
